year,SP500
1871,4.44
1872,4.86
1873,5.11
1874,4.66
1875,4.54
1876,4.46
1877,3.55
1878,3.25
1879,3.58
1880,5.11
1881,6.19
1882,5.92
1883,5.81
1884,5.18
1885,4.24
1886,5.2
1887,5.58
1888,5.31
1889,5.24
1890,5.38
1891,4.84
1892,5.51
1893,5.61
1894,4.32
1895,4.25
1896,4.27
1897,4.22
1898,4.88
1899,6.08
1900,6.1
1901,7.07
1902,8.12
1903,8.46
1904,6.68
1905,8.43
1906,9.87
1907,9.56
1908,6.85
1909,9.06
1910,10.08
1911,9.27
1912,9.12
1913,9.3
1914,8.37
1915,7.48
1916,9.33
1917,9.57
1918,7.21
1919,7.85
1920,8.83
1921,7.11
1922,7.3
1923,8.9
1924,8.83
1925,10.58
1926,12.65
1927,13.4
1928,17.53
1929,24.86
1930,21.71
1931,15.98
1932,8.3
1933,7.09
1934,10.54
1935,9.26
1936,13.76
1937,17.59
1938,11.31
1939,12.5
1940,12.3
1941,10.55
1942,8.93
1943,10.09
1944,11.85
1945,13.49
1946,18.02
1947,15.21
1948,14.83
1949,15.36
1950,16.88
1951,21.21
1952,24.19
1953,26.18
1954,25.46
1955,35.6
1956,44.15
1957,45.43
1958,41.12
1959,55.62
1960,58.03
1961,59.72
1962,69.07
1963,65.06
1964,76.45
1965,86.12
1966,93.32
1967,84.45
1968,95.04
1969,102.0
1970,90.31
1971,93.49
1972,103.3
1973,118.4
1974,96.11
1975,72.56
1976,96.86
1977,103.8
1978,90.25
1979,99.71
1980,110.9
1981,133.0
1982,117.3
1983,144.3
1984,166.4
1985,171.6
1986,208.2
1987,264.5
1988,250.5
1989,285.4
1990,339.97
1991,325.49
1992,416.08
1993,435.23
1994,472.99
1995,465.25
1996,614.42
1997,766.22
1998,963.36
1999,1248.77
2000,1425.59
2001,1335.63
2002,1140.21
2003,895.84
2004,1132.52
2005,1181.41
2006,1278.73
2007,1424.16
2008,1378.76
2009,865.58
2010,1123.58
2011,1282.62
2012,1300.58
2013,1480.4
2014,1822.36
2015,2028.18
2016,1918.6
2017,2275.12
2018,2789.8
